longitude,latitude,id,group,type,name
-78.6298247,42.7676918,151007289,2302,fast_food,McDonald's
-78.8772562,42.8993247,265836448,2302,fast_food,Jim's Steak Out
-78.8736408,42.8988908,266032259,2303,cafe,Tim Hortons
-78.8760784,42.8992681,266033586,2302,fast_food,NY Pizza
-73.931236,41.660769,303663108,2303,cafe,Starbucks
-73.9310265,41.6610442,303663111,2302,fast_food,Quiznos
-74.9871372,44.670732,334995788,2302,fast_food,Jreck's Subs
-73.890222,41.5185582,344805259,2302,fast_food,McDonald's
-73.8997027,41.5375781,344805280,2302,fast_food,Burger King
-73.9320525,41.7827116,344988509,2302,fast_food,McDonald's
-73.8993812,41.5280088,347414562,2302,fast_food,A&W / KFC
-73.9766972,40.7625361,349323821,2302,fast_food,Five Guys
-74.9854007,44.6688614,353886412,2303,cafe,Scoops Downtown
-75.1475798,44.5985661,354782215,2302,fast_food,Burger King
-75.1495687,44.5983061,354782221,2501,supermarket,Price Chopper
-75.1721593,44.5955698,354789085,2501,supermarket,Nature's Storehouse
-75.4549137,44.3410616,354793324,2501,supermarket,Price Chopper
-74.1300123,44.3291535,355447197,2501,supermarket,
-74.0012583,41.0927239,355966932,2302,fast_food,McDonald's
-74.0297395,41.1053681,355968570,2302,fast_food,Burger King
-73.9899489,41.1417812,356376514,2302,fast_food,Burger King
-73.9860549,41.1541178,356384665,2302,fast_food,McDonald's
-75.9455556,42.1111111,357632158,2303,cafe,Cafe 482H
-73.9371159,41.0943362,359997416,2302,fast_food,McDonald's
-74.1897895,41.15303,361514889,2302,fast_food,McDonald's
-74.9834046,44.7972819,362003276,2501,supermarket,Al Smith's Superette
-73.8688889,40.7622222,368047348,2302,fast_food,Dunkin' Donuts
-74.3583333,41.2577778,368048898,2303,cafe,Tuscan Cafe
-73.8433223,40.9362186,368053415,2303,cafe,Teahaus
-73.7526782,42.6503233,370697204,2303,cafe,Starbucks
-73.6999819,42.6468649,373067618,2302,fast_food,Five Guys
-73.7000143,42.6467877,373067620,2302,fast_food,Subway
-73.7000645,42.6467041,373067621,2302,fast_food,Roasted Red Pepper
-73.6461337,42.6974054,373327552,2302,fast_food,Dunkin' Donuts
-73.6080007,42.6432717,373337300,2302,fast_food,Subway Subs
-73.6915968,42.6611474,373513172,2302,fast_food,Domino's
-77.5051985,42.7881814,382987859,2501,supermarket,Surefine
-73.6070149,42.6461854,390620957,2302,fast_food,Doby's Submarine
-73.961816,40.8003709,410235438,2303,cafe,Zanny's Cafe
-75.8079694,44.0449455,411657089,2501,supermarket,Fort Drum Commissary
-73.191009,40.8551469,411933131,2303,cafe,Starbucks
-78.8767989,42.9176758,414386924,2303,cafe,SPoT Coffee
-78.8768086,42.9192684,414392643,2501,supermarket,Lexington Co-op
-74.076656,40.636934,418520887,2303,cafe,Everything Goes Book Cafe
-73.9895351,40.6647223,419360003,2303,cafe,La Fondita
-73.9664572,40.6870366,419360013,2501,supermarket,Waverly Urban Market
-73.9935675,40.6901914,419360064,2303,cafe,Mocha Hookah
-73.993141,40.6900737,419361172,2516,butcher,Dellapietras
-74.0048997,40.6505269,419361320,2528,greengrocer,Market Carniceria
-73.9772631,40.7477067,419367394,2303,cafe,Perk Kafe
-73.9431823,40.810011,419367529,2303,cafe,Lenox Coffee
-73.9184199,42.7435925,436766719,2302,fast_food,McDonald's
-74.0971478,42.8968645,436766724,2302,fast_food,Roy Rogers
-74.1624996,42.9147009,436766744,2302,fast_food,McDonald's
-75.4146353,43.1250552,436830234,2302,fast_food,Burger King
-73.7949162,42.7269142,442820074,2303,cafe,Starbucks
-73.7951946,42.7267376,442820156,2302,fast_food,Moe's Southwest Grill
